Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 11057
Total, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 11445
Total, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 14775
Total, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 14371
Total, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 16856
Total, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 12119
Total, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 16213
Total, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 24408
Total, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 27187
Total, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 24037
Total, Total, Total, Dolj, Year 2013, Number of persons, 5443
Total, Total, Total, Dolj, Year 2014, Number of persons, 4819
Total, Total, Total, Dolj, Year 2015, Number of persons, 4704
Total, Total, Total, Dolj, Year 2016, Number of persons, 4866
Total, Total, Total, Dolj, Year 2017, Number of persons, 6281
Total, Total, Total, Dolj, Year 2018, Number of persons, 6109
Total, Total, Total, Dolj, Year 2019, Number of persons, 7165
Total, Total, Total, Dolj, Year 2020, Number of persons, 5151
Total, Total, Total, Dolj, Year 2021, Number of persons, 6890
Total, Total, Total, Dolj, Year 2022, Number of persons, 10373
Total, Total, Total, Dolj, Year 2023, Number of persons, 10942
Total, Total, Total, Dolj, Year 2024, Number of persons, 9674
Total, Total, Total, Gorj, Year 2013, Number of persons, 2761
Total, Total, Total, Gorj, Year 2014, Number of persons, 2445
Total, Total, Total, Gorj, Year 2015, Number of persons, 2387
Total, Total, Total, Gorj, Year 2016, Number of persons, 2471
Total, Total, Total, Gorj, Year 2017, Number of persons, 3190
Total, Total, Total, Gorj, Year 2018, Number of persons, 3103
Total, Total, Total, Gorj, Year 2019, Number of persons, 3640
Total, Total, Total, Gorj, Year 2020, Number of persons, 2617
Total, Total, Total, Gorj, Year 2021, Number of persons, 3500
Total, Total, Total, Gorj, Year 2022, Number of persons, 5269
Total, Total, Total, Gorj, Year 2023, Number of persons, 5512
Total, Total, Total, Gorj, Year 2024, Number of persons, 4873
Total, Total, Total, Mehedinti, Year 2013, Number of persons, 2072
Total, Total, Total, Mehedinti, Year 2014, Number of persons, 1835
Total, Total, Total, Mehedinti, Year 2015, Number of persons, 1791
Total, Total, Total, Mehedinti, Year 2016, Number of persons, 1854
Total, Total, Total, Mehedinti, Year 2017, Number of persons, 2393
Total, Total, Total, Mehedinti, Year 2018, Number of persons, 2327
Total, Total, Total, Mehedinti, Year 2019, Number of persons, 2729
Total, Total, Total, Mehedinti, Year 2020, Number of persons, 1962
Total, Total, Total, Mehedinti, Year 2021, Number of persons, 2624
Total, Total, Total, Mehedinti, Year 2022, Number of persons, 3950
Total, Total, Total, Mehedinti, Year 2023, Number of persons, 4350
Total, Total, Total, Mehedinti, Year 2024, Number of persons, 3846
Total, Total, Total, Olt, Year 2013, Number of persons, 3397
Total, Total, Total, Olt, Year 2014, Number of persons, 3008
Total, Total, Total, Olt, Year 2015, Number of persons, 2936
Total, Total, Total, Olt, Year 2016, Number of persons, 3039
Total, Total, Total, Olt, Year 2017, Number of persons, 3923
Total, Total, Total, Olt, Year 2018, Number of persons, 3816
Total, Total, Total, Olt, Year 2019, Number of persons, 4476
Total, Total, Total, Olt, Year 2020, Number of persons, 3218
Total, Total, Total, Olt, Year 2021, Number of persons, 4304
Total, Total, Total, Olt, Year 2022, Number of persons, 6479
Total, Total, Total, Olt, Year 2023, Number of persons, 7213
Total, Total, Total, Olt, Year 2024, Number of persons, 6377
Total, Total, Total, Valcea, Year 2013, Number of persons, 2715
Total, Total, Total, Valcea, Year 2014, Number of persons, 2404
Total, Total, Total, Valcea, Year 2015, Number of persons, 2347
Total, Total, Total, Valcea, Year 2016, Number of persons, 2429
Total, Total, Total, Valcea, Year 2017, Number of persons, 3135
Total, Total, Total, Valcea, Year 2018, Number of persons, 3049
