Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
0- 4 years, Total, Total, Teleorman, Year 2019, Number of persons, 13711
0- 4 years, Total, Total, Teleorman, Year 2020, Number of persons, 13551
0- 4 years, Total, Total, Teleorman, Year 2021, Number of persons, 13563
0- 4 years, Total, Total, Teleorman, Year 2022, Number of persons, 12719
0- 4 years, Total, Total, Teleorman, Year 2023, Number of persons, 12488
0- 4 years, Total, Total, Teleorman, Year 2024, Number of persons, 11784
0- 4 years, Total, Total, Ilfov, Year 2013, Number of persons, 24900
0- 4 years, Total, Total, Ilfov, Year 2014, Number of persons, 24001
0- 4 years, Total, Total, Ilfov, Year 2015, Number of persons, 23137
0- 4 years, Total, Total, Ilfov, Year 2016, Number of persons, 22783
0- 4 years, Total, Total, Ilfov, Year 2017, Number of persons, 23684
0- 4 years, Total, Total, Ilfov, Year 2018, Number of persons, 25210
0- 4 years, Total, Total, Ilfov, Year 2019, Number of persons, 26335
0- 4 years, Total, Total, Ilfov, Year 2020, Number of persons, 26108
0- 4 years, Total, Total, Ilfov, Year 2021, Number of persons, 26617
0- 4 years, Total, Total, Ilfov, Year 2022, Number of persons, 34093
0- 4 years, Total, Total, Ilfov, Year 2023, Number of persons, 33227
0- 4 years, Total, Total, Ilfov, Year 2024, Number of persons, 31443
0- 4 years, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 93297
0- 4 years, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 92218
0- 4 years, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 92086
0- 4 years, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 91255
0- 4 years, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 93512
0- 4 years, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 97607
0- 4 years, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 103969
0- 4 years, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 110646
0- 4 years, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 115540
0- 4 years, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 88021
0- 4 years, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 89430
0- 4 years, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 86949
0- 4 years, Total, Total, Dolj, Year 2013, Number of persons, 29658
