Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
80-84 years, Total, Total, Calarasi, Year 2022, Number of persons, 7954
80-84 years, Total, Total, Calarasi, Year 2023, Number of persons, 7561
80-84 years, Total, Total, Calarasi, Year 2024, Number of persons, 7119
80-84 years, Total, Total, Dambovita, Year 2013, Number of persons, 12496
80-84 years, Total, Total, Dambovita, Year 2014, Number of persons, 12397
80-84 years, Total, Total, Dambovita, Year 2015, Number of persons, 12653
80-84 years, Total, Total, Dambovita, Year 2016, Number of persons, 12650
80-84 years, Total, Total, Dambovita, Year 2017, Number of persons, 12953
80-84 years, Total, Total, Dambovita, Year 2018, Number of persons, 12910
80-84 years, Total, Total, Dambovita, Year 2019, Number of persons, 13301
80-84 years, Total, Total, Dambovita, Year 2020, Number of persons, 13474
80-84 years, Total, Total, Dambovita, Year 2021, Number of persons, 13126
80-84 years, Total, Total, Dambovita, Year 2022, Number of persons, 12040
80-84 years, Total, Total, Dambovita, Year 2023, Number of persons, 11432
80-84 years, Total, Total, Dambovita, Year 2024, Number of persons, 10703
80-84 years, Total, Total, Giurgiu, Year 2013, Number of persons, 8530
80-84 years, Total, Total, Giurgiu, Year 2014, Number of persons, 8454
80-84 years, Total, Total, Giurgiu, Year 2015, Number of persons, 8479
80-84 years, Total, Total, Giurgiu, Year 2016, Number of persons, 8540
80-84 years, Total, Total, Giurgiu, Year 2017, Number of persons, 9019
80-84 years, Total, Total, Giurgiu, Year 2018, Number of persons, 8823
80-84 years, Total, Total, Giurgiu, Year 2019, Number of persons, 8839
80-84 years, Total, Total, Giurgiu, Year 2020, Number of persons, 8964
80-84 years, Total, Total, Giurgiu, Year 2021, Number of persons, 8634
80-84 years, Total, Total, Giurgiu, Year 2022, Number of persons, 7557
80-84 years, Total, Total, Giurgiu, Year 2023, Number of persons, 6974
80-84 years, Total, Total, Giurgiu, Year 2024, Number of persons, 6546
80-84 years, Total, Total, Ialomita, Year 2013, Number of persons, 7381
80-84 years, Total, Total, Ialomita, Year 2014, Number of persons, 7501
80-84 years, Total, Total, Ialomita, Year 2015, Number of persons, 7590
80-84 years, Total, Total, Ialomita, Year 2016, Number of persons, 7606
80-84 years, Total, Total, Ialomita, Year 2017, Number of persons, 7850
80-84 years, Total, Total, Ialomita, Year 2018, Number of persons, 7614
80-84 years, Total, Total, Ialomita, Year 2019, Number of persons, 7666
80-84 years, Total, Total, Ialomita, Year 2020, Number of persons, 7575
80-84 years, Total, Total, Ialomita, Year 2021, Number of persons, 7516
80-84 years, Total, Total, Ialomita, Year 2022, Number of persons, 6942
80-84 years, Total, Total, Ialomita, Year 2023, Number of persons, 6559
80-84 years, Total, Total, Ialomita, Year 2024, Number of persons, 6272
80-84 years, Total, Total, Prahova, Year 2013, Number of persons, 19917
80-84 years, Total, Total, Prahova, Year 2014, Number of persons, 20449
80-84 years, Total, Total, Prahova, Year 2015, Number of persons, 21321
80-84 years, Total, Total, Prahova, Year 2016, Number of persons, 21568
80-84 years, Total, Total, Prahova, Year 2017, Number of persons, 21914
80-84 years, Total, Total, Prahova, Year 2018, Number of persons, 21790
80-84 years, Total, Total, Prahova, Year 2019, Number of persons, 22228
80-84 years, Total, Total, Prahova, Year 2020, Number of persons, 22764
80-84 years, Total, Total, Prahova, Year 2021, Number of persons, 21894
80-84 years, Total, Total, Prahova, Year 2022, Number of persons, 20927
80-84 years, Total, Total, Prahova, Year 2023, Number of persons, 19742
80-84 years, Total, Total, Prahova, Year 2024, Number of persons, 18471
80-84 years, Total, Total, Teleorman, Year 2013, Number of persons, 13448
80-84 years, Total, Total, Teleorman, Year 2014, Number of persons, 13264
80-84 years, Total, Total, Teleorman, Year 2015, Number of persons, 13342
80-84 years, Total, Total, Teleorman, Year 2016, Number of persons, 13026
80-84 years, Total, Total, Teleorman, Year 2017, Number of persons, 13805
80-84 years, Total, Total, Teleorman, Year 2018, Number of persons, 13727
80-84 years, Total, Total, Teleorman, Year 2019, Number of persons, 14168
80-84 years, Total, Total, Teleorman, Year 2020, Number of persons, 14204
80-84 years, Total, Total, Teleorman, Year 2021, Number of persons, 14390
80-84 years, Total, Total, Teleorman, Year 2022, Number of persons, 12276
80-84 years, Total, Total, Teleorman, Year 2023, Number of persons, 11533
80-84 years, Total, Total, Teleorman, Year 2024, Number of persons, 11044
80-84 years, Total, Total, Ilfov, Year 2013, Number of persons, 7649
80-84 years, Total, Total, Ilfov, Year 2014, Number of persons, 7772
80-84 years, Total, Total, Ilfov, Year 2015, Number of persons, 7968
80-84 years, Total, Total, Ilfov, Year 2016, Number of persons, 7977
80-84 years, Total, Total, Ilfov, Year 2017, Number of persons, 8360
80-84 years, Total, Total, Ilfov, Year 2018, Number of persons, 8301
80-84 years, Total, Total, Ilfov, Year 2019, Number of persons, 8658
80-84 years, Total, Total, Ilfov, Year 2020, Number of persons, 8984
80-84 years, Total, Total, Ilfov, Year 2021, Number of persons, 8925
80-84 years, Total, Total, Ilfov, Year 2022, Number of persons, 8333
80-84 years, Total, Total, Ilfov, Year 2023, Number of persons, 8153
80-84 years, Total, Total, Ilfov, Year 2024, Number of persons, 7899
80-84 years, Total, Total, Bucharest Municipality, Year 2013, Number of persons, 43436
80-84 years, Total, Total, Bucharest Municipality, Year 2014, Number of persons, 42659
80-84 years, Total, Total, Bucharest Municipality, Year 2015, Number of persons, 42331
80-84 years, Total, Total, Bucharest Municipality, Year 2016, Number of persons, 41529
80-84 years, Total, Total, Bucharest Municipality, Year 2017, Number of persons, 41768
80-84 years, Total, Total, Bucharest Municipality, Year 2018, Number of persons, 41860
80-84 years, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 42196
80-84 years, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 42542
80-84 years, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 40315
80-84 years, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 40220
80-84 years, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 38232
80-84 years, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 36406
80-84 years, Total, Total, Dolj, Year 2013, Number of persons, 16702
80-84 years, Total, Total, Dolj, Year 2014, Number of persons, 16668
80-84 years, Total, Total, Dolj, Year 2015, Number of persons, 16870
80-84 years, Total, Total, Dolj, Year 2016, Number of persons, 16899
80-84 years, Total, Total, Dolj, Year 2017, Number of persons, 18175
80-84 years, Total, Total, Dolj, Year 2018, Number of persons, 18309
80-84 years, Total, Total, Dolj, Year 2019, Number of persons, 18786
80-84 years, Total, Total, Dolj, Year 2020, Number of persons, 18805
80-84 years, Total, Total, Dolj, Year 2021, Number of persons, 17871
80-84 years, Total, Total, Dolj, Year 2022, Number of persons, 16858
80-84 years, Total, Total, Dolj, Year 2023, Number of persons, 15825
80-84 years, Total, Total, Dolj, Year 2024, Number of persons, 14822
80-84 years, Total, Total, Gorj, Year 2013, Number of persons, 7354
80-84 years, Total, Total, Gorj, Year 2014, Number of persons, 7546
80-84 years, Total, Total, Gorj, Year 2015, Number of persons, 8012
80-84 years, Total, Total, Gorj, Year 2016, Number of persons, 8237
80-84 years, Total, Total, Gorj, Year 2017, Number of persons, 8578
80-84 years, Total, Total, Gorj, Year 2018, Number of persons, 8555
80-84 years, Total, Total, Gorj, Year 2019, Number of persons, 8744
80-84 years, Total, Total, Gorj, Year 2020, Number of persons, 8668
80-84 years, Total, Total, Gorj, Year 2021, Number of persons, 8364
80-84 years, Total, Total, Gorj, Year 2022, Number of persons, 7689
80-84 years, Total, Total, Gorj, Year 2023, Number of persons, 7171
80-84 years, Total, Total, Gorj, Year 2024, Number of persons, 6593
80-84 years, Total, Total, Mehedinti, Year 2013, Number of persons, 6551
80-84 years, Total, Total, Mehedinti, Year 2014, Number of persons, 6660
80-84 years, Total, Total, Mehedinti, Year 2015, Number of persons, 6856
80-84 years, Total, Total, Mehedinti, Year 2016, Number of persons, 6944
80-84 years, Total, Total, Mehedinti, Year 2017, Number of persons, 7350
80-84 years, Total, Total, Mehedinti, Year 2018, Number of persons, 7443
80-84 years, Total, Total, Mehedinti, Year 2019, Number of persons, 7536
80-84 years, Total, Total, Mehedinti, Year 2020, Number of persons, 7460
80-84 years, Total, Total, Mehedinti, Year 2021, Number of persons, 7137
80-84 years, Total, Total, Mehedinti, Year 2022, Number of persons, 6360
80-84 years, Total, Total, Mehedinti, Year 2023, Number of persons, 5990
80-84 years, Total, Total, Mehedinti, Year 2024, Number of persons, 5614
80-84 years, Total, Total, Olt, Year 2013, Number of persons, 11297
80-84 years, Total, Total, Olt, Year 2014, Number of persons, 11287
80-84 years, Total, Total, Olt, Year 2015, Number of persons, 11607
80-84 years, Total, Total, Olt, Year 2016, Number of persons, 11649
80-84 years, Total, Total, Olt, Year 2017, Number of persons, 12552
80-84 years, Total, Total, Olt, Year 2018, Number of persons, 12635
80-84 years, Total, Total, Olt, Year 2019, Number of persons, 13250
80-84 years, Total, Total, Olt, Year 2020, Number of persons, 13194
80-84 years, Total, Total, Olt, Year 2021, Number of persons, 12854
80-84 years, Total, Total, Olt, Year 2022, Number of persons, 11429
80-84 years, Total, Total, Olt, Year 2023, Number of persons, 10860
80-84 years, Total, Total, Olt, Year 2024, Number of persons, 10198
80-84 years, Total, Total, Valcea, Year 2013, Number of persons, 10790
80-84 years, Total, Total, Valcea, Year 2014, Number of persons, 11227
80-84 years, Total, Total, Valcea, Year 2015, Number of persons, 11914
80-84 years, Total, Total, Valcea, Year 2016, Number of persons, 12588
80-84 years, Total, Total, Valcea, Year 2017, Number of persons, 13062
80-84 years, Total, Total, Valcea, Year 2018, Number of persons, 13450
80-84 years, Total, Total, Valcea, Year 2019, Number of persons, 13794
80-84 years, Total, Total, Valcea, Year 2020, Number of persons, 13849
80-84 years, Total, Total, Valcea, Year 2021, Number of persons, 13467
80-84 years, Total, Total, Valcea, Year 2022, Number of persons, 10456
80-84 years, Total, Total, Valcea, Year 2023, Number of persons, 10155
80-84 years, Total, Total, Valcea, Year 2024, Number of persons, 9916
80-84 years, Total, Total, Arad, Year 2013, Number of persons, 10335
80-84 years, Total, Total, Arad, Year 2014, Number of persons, 10315
80-84 years, Total, Total, Arad, Year 2015, Number of persons, 10243
80-84 years, Total, Total, Arad, Year 2016, Number of persons, 10032
80-84 years, Total, Total, Arad, Year 2017, Number of persons, 10151
80-84 years, Total, Total, Arad, Year 2018, Number of persons, 10284
80-84 years, Total, Total, Arad, Year 2019, Number of persons, 10634
80-84 years, Total, Total, Arad, Year 2020, Number of persons, 10992
80-84 years, Total, Total, Arad, Year 2021, Number of persons, 10736
80-84 years, Total, Total, Arad, Year 2022, Number of persons, 10138
80-84 years, Total, Total, Arad, Year 2023, Number of persons, 9616
80-84 years, Total, Total, Arad, Year 2024, Number of persons, 8763
80-84 years, Total, Total, Caras-Severin, Year 2013, Number of persons, 6811
80-84 years, Total, Total, Caras-Severin, Year 2014, Number of persons, 6742
80-84 years, Total, Total, Caras-Severin, Year 2015, Number of persons, 6844
80-84 years, Total, Total, Caras-Severin, Year 2016, Number of persons, 6710
80-84 years, Total, Total, Caras-Severin, Year 2017, Number of persons, 7001
80-84 years, Total, Total, Caras-Severin, Year 2018, Number of persons, 7182
80-84 years, Total, Total, Caras-Severin, Year 2019, Number of persons, 7450
80-84 years, Total, Total, Caras-Severin, Year 2020, Number of persons, 7537
80-84 years, Total, Total, Caras-Severin, Year 2021, Number of persons, 7522
80-84 years, Total, Total, Caras-Severin, Year 2022, Number of persons, 7003
80-84 years, Total, Total, Caras-Severin, Year 2023, Number of persons, 6765
80-84 years, Total, Total, Caras-Severin, Year 2024, Number of persons, 6388
80-84 years, Total, Total, Hunedoara, Year 2013, Number of persons, 9434
80-84 years, Total, Total, Hunedoara, Year 2014, Number of persons, 9517
80-84 years, Total, Total, Hunedoara, Year 2015, Number of persons, 9760
80-84 years, Total, Total, Hunedoara, Year 2016, Number of persons, 9763
80-84 years, Total, Total, Hunedoara, Year 2017, Number of persons, 10218
80-84 years, Total, Total, Hunedoara, Year 2018, Number of persons, 10398
80-84 years, Total, Total, Hunedoara, Year 2019, Number of persons, 10921
80-84 years, Total, Total, Hunedoara, Year 2020, Number of persons, 11375
80-84 years, Total, Total, Hunedoara, Year 2021, Number of persons, 11302
80-84 years, Total, Total, Hunedoara, Year 2022, Number of persons, 10922
80-84 years, Total, Total, Hunedoara, Year 2023, Number of persons, 10428
80-84 years, Total, Total, Hunedoara, Year 2024, Number of persons, 10065
80-84 years, Total, Total, Timis, Year 2013, Number of persons, 13340
80-84 years, Total, Total, Timis, Year 2014, Number of persons, 13322
80-84 years, Total, Total, Timis, Year 2015, Number of persons, 13149
80-84 years, Total, Total, Timis, Year 2016, Number of persons, 12663
80-84 years, Total, Total, Timis, Year 2017, Number of persons, 13104
80-84 years, Total, Total, Timis, Year 2018, Number of persons, 13392
80-84 years, Total, Total, Timis, Year 2019, Number of persons, 13973
80-84 years, Total, Total, Timis, Year 2020, Number of persons, 14586
80-84 years, Total, Total, Timis, Year 2021, Number of persons, 14657
80-84 years, Total, Total, Timis, Year 2022, Number of persons, 14278
80-84 years, Total, Total, Timis, Year 2023, Number of persons, 13885
80-84 years, Total, Total, Timis, Year 2024, Number of persons, 13308
85 years and over, Total, Total, Bihor, Year 2013, Number of persons, 6634
85 years and over, Total, Total, Bihor, Year 2014, Number of persons, 7131
85 years and over, Total, Total, Bihor, Year 2015, Number of persons, 7594
85 years and over, Total, Total, Bihor, Year 2016, Number of persons, 8079
85 years and over, Total, Total, Bihor, Year 2017, Number of persons, 8343
85 years and over, Total, Total, Bihor, Year 2018, Number of persons, 8703
85 years and over, Total, Total, Bihor, Year 2019, Number of persons, 8755
85 years and over, Total, Total, Bihor, Year 2020, Number of persons, 9212
85 years and over, Total, Total, Bihor, Year 2021, Number of persons, 9315
85 years and over, Total, Total, Bihor, Year 2022, Number of persons, 8152
85 years and over, Total, Total, Bihor, Year 2023, Number of persons, 8351
85 years and over, Total, Total, Bihor, Year 2024, Number of persons, 8845
85 years and over, Total, Total, Bistrita-Nasaud, Year 2013, Number of persons, 3438
85 years and over, Total, Total, Bistrita-Nasaud, Year 2014, Number of persons, 3721
85 years and over, Total, Total, Bistrita-Nasaud, Year 2015, Number of persons, 3970
85 years and over, Total, Total, Bistrita-Nasaud, Year 2016, Number of persons, 4217
85 years and over, Total, Total, Bistrita-Nasaud, Year 2017, Number of persons, 4412
85 years and over, Total, Total, Bistrita-Nasaud, Year 2018, Number of persons, 4655
85 years and over, Total, Total, Bistrita-Nasaud, Year 2019, Number of persons, 4819
85 years and over, Total, Total, Bistrita-Nasaud, Year 2020, Number of persons, 4952
85 years and over, Total, Total, Bistrita-Nasaud, Year 2021, Number of persons, 4926
85 years and over, Total, Total, Bistrita-Nasaud, Year 2022, Number of persons, 4358
85 years and over, Total, Total, Bistrita-Nasaud, Year 2023, Number of persons, 4454
85 years and over, Total, Total, Bistrita-Nasaud, Year 2024, Number of persons, 4635
85 years and over, Total, Total, Cluj, Year 2013, Number of persons, 9210
85 years and over, Total, Total, Cluj, Year 2014, Number of persons, 9947
85 years and over, Total, Total, Cluj, Year 2015, Number of persons, 10602
85 years and over, Total, Total, Cluj, Year 2016, Number of persons, 11418
85 years and over, Total, Total, Cluj, Year 2017, Number of persons, 11869
85 years and over, Total, Total, Cluj, Year 2018, Number of persons, 12509
85 years and over, Total, Total, Cluj, Year 2019, Number of persons, 12903
85 years and over, Total, Total, Cluj, Year 2020, Number of persons, 13444
85 years and over, Total, Total, Cluj, Year 2021, Number of persons, 13819
85 years and over, Total, Total, Cluj, Year 2022, Number of persons, 12811
85 years and over, Total, Total, Cluj, Year 2023, Number of persons, 13130
85 years and over, Total, Total, Cluj, Year 2024, Number of persons, 13975
85 years and over, Total, Total, Maramures, Year 2013, Number of persons, 4683
85 years and over, Total, Total, Maramures, Year 2014, Number of persons, 5132
85 years and over, Total, Total, Maramures, Year 2015, Number of persons, 5445
85 years and over, Total, Total, Maramures, Year 2016, Number of persons, 5783
85 years and over, Total, Total, Maramures, Year 2017, Number of persons, 6022
85 years and over, Total, Total, Maramures, Year 2018, Number of persons, 6459
85 years and over, Total, Total, Maramures, Year 2019, Number of persons, 6677
85 years and over, Total, Total, Maramures, Year 2020, Number of persons, 7006
85 years and over, Total, Total, Maramures, Year 2021, Number of persons, 7169
85 years and over, Total, Total, Maramures, Year 2022, Number of persons, 6220
85 years and over, Total, Total, Maramures, Year 2023, Number of persons, 6447
85 years and over, Total, Total, Maramures, Year 2024, Number of persons, 6900
85 years and over, Total, Total, Satu Mare, Year 2013, Number of persons, 3086
85 years and over, Total, Total, Satu Mare, Year 2014, Number of persons, 3291
85 years and over, Total, Total, Satu Mare, Year 2015, Number of persons, 3501
85 years and over, Total, Total, Satu Mare, Year 2016, Number of persons, 3703
85 years and over, Total, Total, Satu Mare, Year 2017, Number of persons, 3841
85 years and over, Total, Total, Satu Mare, Year 2018, Number of persons, 4017
85 years and over, Total, Total, Satu Mare, Year 2019, Number of persons, 4019
85 years and over, Total, Total, Satu Mare, Year 2020, Number of persons, 4159
85 years and over, Total, Total, Satu Mare, Year 2021, Number of persons, 4329
85 years and over, Total, Total, Satu Mare, Year 2022, Number of persons, 3848
85 years and over, Total, Total, Satu Mare, Year 2023, Number of persons, 3972
85 years and over, Total, Total, Satu Mare, Year 2024, Number of persons, 4271
85 years and over, Total, Total, Salaj, Year 2013, Number of persons, 2902
85 years and over, Total, Total, Salaj, Year 2014, Number of persons, 3140
85 years and over, Total, Total, Salaj, Year 2015, Number of persons, 3308
85 years and over, Total, Total, Salaj, Year 2016, Number of persons, 3572
85 years and over, Total, Total, Salaj, Year 2017, Number of persons, 3689
85 years and over, Total, Total, Salaj, Year 2018, Number of persons, 3893
85 years and over, Total, Total, Salaj, Year 2019, Number of persons, 3979
85 years and over, Total, Total, Salaj, Year 2020, Number of persons, 4182
85 years and over, Total, Total, Salaj, Year 2021, Number of persons, 4267
85 years and over, Total, Total, Salaj, Year 2022, Number of persons, 3635
85 years and over, Total, Total, Salaj, Year 2023, Number of persons, 3691
85 years and over, Total, Total, Salaj, Year 2024, Number of persons, 3913
85 years and over, Total, Total, Alba, Year 2013, Number of persons, 5208
85 years and over, Total, Total, Alba, Year 2014, Number of persons, 5555
85 years and over, Total, Total, Alba, Year 2015, Number of persons, 5956
85 years and over, Total, Total, Alba, Year 2016, Number of persons, 6248
85 years and over, Total, Total, Alba, Year 2017, Number of persons, 6423
85 years and over, Total, Total, Alba, Year 2018, Number of persons, 6743
85 years and over, Total, Total, Alba, Year 2019, Number of persons, 6939
85 years and over, Total, Total, Alba, Year 2020, Number of persons, 7298
85 years and over, Total, Total, Alba, Year 2021, Number of persons, 7563
85 years and over, Total, Total, Alba, Year 2022, Number of persons, 6383
85 years and over, Total, Total, Alba, Year 2023, Number of persons, 6532
85 years and over, Total, Total, Alba, Year 2024, Number of persons, 6890
85 years and over, Total, Total, Brasov, Year 2013, Number of persons, 7223
85 years and over, Total, Total, Brasov, Year 2014, Number of persons, 7755
85 years and over, Total, Total, Brasov, Year 2015, Number of persons, 8203
85 years and over, Total, Total, Brasov, Year 2016, Number of persons, 8697
85 years and over, Total, Total, Brasov, Year 2017, Number of persons, 9067
85 years and over, Total, Total, Brasov, Year 2018, Number of persons, 9641
85 years and over, Total, Total, Brasov, Year 2019, Number of persons, 9911
85 years and over, Total, Total, Brasov, Year 2020, Number of persons, 10400
85 years and over, Total, Total, Brasov, Year 2021, Number of persons, 10494
85 years and over, Total, Total, Brasov, Year 2022, Number of persons, 9761
85 years and over, Total, Total, Brasov, Year 2023, Number of persons, 10229
85 years and over, Total, Total, Brasov, Year 2024, Number of persons, 10699
85 years and over, Total, Total, Covasna, Year 2013, Number of persons, 2802
85 years and over, Total, Total, Covasna, Year 2014, Number of persons, 2938
85 years and over, Total, Total, Covasna, Year 2015, Number of persons, 3129
85 years and over, Total, Total, Covasna, Year 2016, Number of persons, 3242
85 years and over, Total, Total, Covasna, Year 2017, Number of persons, 3261
85 years and over, Total, Total, Covasna, Year 2018, Number of persons, 3333
85 years and over, Total, Total, Covasna, Year 2019, Number of persons, 3273
85 years and over, Total, Total, Covasna, Year 2020, Number of persons, 3435
85 years and over, Total, Total, Covasna, Year 2021, Number of persons, 3459
85 years and over, Total, Total, Covasna, Year 2022, Number of persons, 3073
85 years and over, Total, Total, Covasna, Year 2023, Number of persons, 3141
85 years and over, Total, Total, Covasna, Year 2024, Number of persons, 3338
85 years and over, Total, Total, Harghita, Year 2013, Number of persons, 4145
85 years and over, Total, Total, Harghita, Year 2014, Number of persons, 4413
85 years and over, Total, Total, Harghita, Year 2015, Number of persons, 4687
85 years and over, Total, Total, Harghita, Year 2016, Number of persons, 5112
85 years and over, Total, Total, Harghita, Year 2017, Number of persons, 5278
85 years and over, Total, Total, Harghita, Year 2018, Number of persons, 5450
85 years and over, Total, Total, Harghita, Year 2019, Number of persons, 5604
85 years and over, Total, Total, Harghita, Year 2020, Number of persons, 5755
85 years and over, Total, Total, Harghita, Year 2021, Number of persons, 5847
85 years and over, Total, Total, Harghita, Year 2022, Number of persons, 4874
85 years and over, Total, Total, Harghita, Year 2023, Number of persons, 5083
85 years and over, Total, Total, Harghita, Year 2024, Number of persons, 5327
85 years and over, Total, Total, Mures, Year 2013, Number of persons, 7907
85 years and over, Total, Total, Mures, Year 2014, Number of persons, 8442
85 years and over, Total, Total, Mures, Year 2015, Number of persons, 9047
85 years and over, Total, Total, Mures, Year 2016, Number of persons, 9688
85 years and over, Total, Total, Mures, Year 2017, Number of persons, 9950
85 years and over, Total, Total, Mures, Year 2018, Number of persons, 10319
85 years and over, Total, Total, Mures, Year 2019, Number of persons, 10618
85 years and over, Total, Total, Mures, Year 2020, Number of persons, 10780
85 years and over, Total, Total, Mures, Year 2021, Number of persons, 10848
85 years and over, Total, Total, Mures, Year 2022, Number of persons, 9644
85 years and over, Total, Total, Mures, Year 2023, Number of persons, 9866
85 years and over, Total, Total, Mures, Year 2024, Number of persons, 10247
85 years and over, Total, Total, Sibiu, Year 2013, Number of persons, 4754
85 years and over, Total, Total, Sibiu, Year 2014, Number of persons, 5105
85 years and over, Total, Total, Sibiu, Year 2015, Number of persons, 5399
85 years and over, Total, Total, Sibiu, Year 2016, Number of persons, 5646
85 years and over, Total, Total, Sibiu, Year 2017, Number of persons, 5851
85 years and over, Total, Total, Sibiu, Year 2018, Number of persons, 6197
85 years and over, Total, Total, Sibiu, Year 2019, Number of persons, 6391
85 years and over, Total, Total, Sibiu, Year 2020, Number of persons, 6481
85 years and over, Total, Total, Sibiu, Year 2021, Number of persons, 6730
85 years and over, Total, Total, Sibiu, Year 2022, Number of persons, 6068
85 years and over, Total, Total, Sibiu, Year 2023, Number of persons, 6359
85 years and over, Total, Total, Sibiu, Year 2024, Number of persons, 6796
85 years and over, Total, Total, Bacau, Year 2013, Number of persons, 8309
85 years and over, Total, Total, Bacau, Year 2014, Number of persons, 8976
85 years and over, Total, Total, Bacau, Year 2015, Number of persons, 9508
85 years and over, Total, Total, Bacau, Year 2016, Number of persons, 10120
85 years and over, Total, Total, Bacau, Year 2017, Number of persons, 10294
85 years and over, Total, Total, Bacau, Year 2018, Number of persons, 11110
85 years and over, Total, Total, Bacau, Year 2019, Number of persons, 11355
85 years and over, Total, Total, Bacau, Year 2020, Number of persons, 12026
85 years and over, Total, Total, Bacau, Year 2021, Number of persons, 12312
85 years and over, Total, Total, Bacau, Year 2022, Number of persons, 11255
85 years and over, Total, Total, Bacau, Year 2023, Number of persons, 11518
85 years and over, Total, Total, Bacau, Year 2024, Number of persons, 12134
85 years and over, Total, Total, Botosani, Year 2013, Number of persons, 7287
85 years and over, Total, Total, Botosani, Year 2014, Number of persons, 7806
85 years and over, Total, Total, Botosani, Year 2015, Number of persons, 8231
85 years and over, Total, Total, Botosani, Year 2016, Number of persons, 8492
85 years and over, Total, Total, Botosani, Year 2017, Number of persons, 8701
85 years and over, Total, Total, Botosani, Year 2018, Number of persons, 9122
85 years and over, Total, Total, Botosani, Year 2019, Number of persons, 9240
85 years and over, Total, Total, Botosani, Year 2020, Number of persons, 9795
85 years and over, Total, Total, Botosani, Year 2021, Number of persons, 9812
85 years and over, Total, Total, Botosani, Year 2022, Number of persons, 8792
85 years and over, Total, Total, Botosani, Year 2023, Number of persons, 8949
85 years and over, Total, Total, Botosani, Year 2024, Number of persons, 9265
85 years and over, Total, Total, Iasi, Year 2013, Number of persons, 10002
85 years and over, Total, Total, Iasi, Year 2014, Number of persons, 10952
85 years and over, Total, Total, Iasi, Year 2015, Number of persons, 11851
85 years and over, Total, Total, Iasi, Year 2016, Number of persons, 12468
85 years and over, Total, Total, Iasi, Year 2017, Number of persons, 12933
85 years and over, Total, Total, Iasi, Year 2018, Number of persons, 13592
85 years and over, Total, Total, Iasi, Year 2019, Number of persons, 13760
85 years and over, Total, Total, Iasi, Year 2020, Number of persons, 14450
85 years and over, Total, Total, Iasi, Year 2021, Number of persons, 14615
85 years and over, Total, Total, Iasi, Year 2022, Number of persons, 13171
85 years and over, Total, Total, Iasi, Year 2023, Number of persons, 13580
85 years and over, Total, Total, Iasi, Year 2024, Number of persons, 14277
85 years and over, Total, Total, Neamt, Year 2013, Number of persons, 7535
85 years and over, Total, Total, Neamt, Year 2014, Number of persons, 8082
85 years and over, Total, Total, Neamt, Year 2015, Number of persons, 8731
85 years and over, Total, Total, Neamt, Year 2016, Number of persons, 9230
85 years and over, Total, Total, Neamt, Year 2017, Number of persons, 9517
85 years and over, Total, Total, Neamt, Year 2018, Number of persons, 10180
85 years and over, Total, Total, Neamt, Year 2019, Number of persons, 10409
85 years and over, Total, Total, Neamt, Year 2020, Number of persons, 10982
85 years and over, Total, Total, Neamt, Year 2021, Number of persons, 11254
85 years and over, Total, Total, Neamt, Year 2022, Number of persons, 10470
85 years and over, Total, Total, Neamt, Year 2023, Number of persons, 10840
85 years and over, Total, Total, Neamt, Year 2024, Number of persons, 11435
85 years and over, Total, Total, Suceava, Year 2013, Number of persons, 9477
85 years and over, Total, Total, Suceava, Year 2014, Number of persons, 10284
85 years and over, Total, Total, Suceava, Year 2015, Number of persons, 11041
85 years and over, Total, Total, Suceava, Year 2016, Number of persons, 11752
85 years and over, Total, Total, Suceava, Year 2017, Number of persons, 12110
85 years and over, Total, Total, Suceava, Year 2018, Number of persons, 12852
85 years and over, Total, Total, Suceava, Year 2019, Number of persons, 13219
85 years and over, Total, Total, Suceava, Year 2020, Number of persons, 13721
85 years and over, Total, Total, Suceava, Year 2021, Number of persons, 14026
85 years and over, Total, Total, Suceava, Year 2022, Number of persons, 12756
85 years and over, Total, Total, Suceava, Year 2023, Number of persons, 13099
85 years and over, Total, Total, Suceava, Year 2024, Number of persons, 13702
85 years and over, Total, Total, Vaslui, Year 2013, Number of persons, 6364
85 years and over, Total, Total, Vaslui, Year 2014, Number of persons, 6806
85 years and over, Total, Total, Vaslui, Year 2015, Number of persons, 7177
85 years and over, Total, Total, Vaslui, Year 2016, Number of persons, 7400
85 years and over, Total, Total, Vaslui, Year 2017, Number of persons, 7657
85 years and over, Total, Total, Vaslui, Year 2018, Number of persons, 8045
85 years and over, Total, Total, Vaslui, Year 2019, Number of persons, 8204
85 years and over, Total, Total, Vaslui, Year 2020, Number of persons, 8579
85 years and over, Total, Total, Vaslui, Year 2021, Number of persons, 8599
85 years and over, Total, Total, Vaslui, Year 2022, Number of persons, 7702
85 years and over, Total, Total, Vaslui, Year 2023, Number of persons, 7781
85 years and over, Total, Total, Vaslui, Year 2024, Number of persons, 8109
85 years and over, Total, Total, Braila, Year 2013, Number of persons, 5191
85 years and over, Total, Total, Braila, Year 2014, Number of persons, 5653
85 years and over, Total, Total, Braila, Year 2015, Number of persons, 6066
